"Date","Unique","B&B","Apartment","House"
"2023-05-01","","1354.36","1439859.55","17499.16"
"2023-06-01","","1688.56","1498423.03","5195.56"
"2023-07-01","","2771.18","1640542.23","9811.99"
"2023-08-01","","2940.98","1679591.03","13204.48"
"2023-09-01","","3007.5","1816524.81","17680.01"
"2023-10-01","","3857.97","2237940.75","35504.43"
"2023-11-01","7940.3","4196.25","2773283.29","58441.16"
"2023-12-01","3051.75","4083.81","2906844.55","99685.51"
"2024-01-01","1760.62","7742.85","3078180.27","52419.85"
"2024-02-01","3984.09","9912.97","3670485.82","73693.23"
"2024-03-01","1239.11","3992.13","2612444.78","26565.88"
"2024-04-01","414.82","6725.21","2444543.21","29057.88"
"2024-05-01","4585.65","5448.34","2949433.7","42780.54"
"2024-06-01","5066.92","5671.52","2684951.79","48791.14"
"2024-07-01","5350.23","3072.84","3063700.08","44768.7"
"2024-08-01","2902.3","4240.98","3173299.11","32912.9"
"2024-09-01","","7748.05","4837357.12","57234.13"
"2024-10-01","","4081.83","3669629.67","21325"
"2024-11-01","","8533.11","4387439","67459.11"
"2024-12-01","5232.72","5873.21","5169758.3","80351.86"
"2025-01-01","5628.82","6729.33","6276639.89","112919.19"
"2025-02-01","4923.16","7707.06","6222531.39","105131.99"
"2025-03-01","15892.34","7951.92","8032526.76","147610.31"
"2025-04-01","576.84","5685.98","6079237.81","64187.95"
"2025-05-01","1363.87","4296.2","5973207.08","51435.01"
"2025-06-01","3841.92","2012.44","5076618.5","59098.01"
"2025-07-01","4791.15","427.98","4989062.35","35661.25"
"2025-08-01","5303.69","1172","5102315.02","49132.02"
"2025-09-01","4093.86","3998.16","5325429.02","64278.89"
"2025-10-01","4769.45","3232.32","6031323.23","72288.47"
"2025-11-01","3527.87","2839.25","6685014.11","69503.3"
"2025-12-01","4499.78","1759.84","8951847.25","96520.65"
"2026-01-01","7748.05","2963.91","12834232.22","139217.83"
"2026-02-01","13288.58","8392.79","16303748.99","238876.1"
"2026-03-01","12127.11","28470.72","10074641.76","68247.63"
"2026-04-01","2611.81","164514.05","9198788.77","102045.35"
