"Date","Occupancy"
"2023-05-01","31.86"
"2023-06-01","36.62"
"2023-07-01","46.34"
"2023-08-01","49.28"
"2023-09-01","53.33"
"2023-10-01","43.82"
"2023-11-01","40.29"
"2023-12-01","45.89"
"2024-01-01","32.39"
"2024-02-01","41.99"
"2024-03-01","40.98"
"2024-04-01","58.91"
"2024-05-01","52.63"
"2024-06-01","44.6"
"2024-07-01","61.21"
"2024-08-01","52.46"
"2024-09-01","76.19"
"2024-10-01","59.77"
"2024-11-01","44.38"
"2024-12-01","57.2"
"2025-01-01","49.07"
"2025-02-01","48.79"
"2025-03-01","36.63"
"2025-04-01","45.91"
"2025-05-01","34.95"
"2025-06-01","55.5"
"2025-07-01","76.02"
"2025-08-01","67.72"
"2025-09-01","59.41"
"2025-10-01","66.34"
"2025-11-01","51.76"
"2025-12-01","83.54"
"2026-01-01","47.86"
"2026-02-01","47.35"
"2026-03-01","28.94"
"2026-04-01","69.44"
