"Date","Listing Days Booked","Booked Listings"
"2023-05-01","36","3"
"2023-06-01","26","3"
"2023-07-01","38","3"
"2023-08-01","34","2"
"2023-09-01","32","2"
"2023-10-01","39","3"
"2023-11-01","56","6"
"2023-12-01","95","8"
"2024-01-01","69","7"
"2024-02-01","97","11"
"2024-03-01","84","4"
"2024-04-01","76","5"
"2024-05-01","90","5"
"2024-06-01","62","3"
"2024-07-01","71","4"
"2024-08-01","64","4"
"2024-09-01","96","5"
"2024-10-01","104","6"
"2024-11-01","71","6"
"2024-12-01","135","11"
"2025-01-01","158","11"
"2025-02-01","101","17"
"2025-03-01","215","20"
"2025-04-01","146","12"
"2025-05-01","144","12"
"2025-06-01","111","8"
"2025-07-01","149","6"
"2025-08-01","172","9"
"2025-09-01","142","8"
"2025-10-01","134","6"
"2025-11-01","88","6"
"2025-12-01","132","12"
"2026-01-01","168","15"
"2026-02-01","223","22"
"2026-03-01","125","6"
"2026-04-01","150","9"
