"Date","Occupancy"
"2023-05-01","38.94"
"2023-06-01","37.82"
"2023-07-01","37.83"
"2023-08-01","33.29"
"2023-09-01","48.02"
"2023-10-01","40.99"
"2023-11-01","50.79"
"2023-12-01","53.21"
"2024-01-01","35.57"
"2024-02-01","44.79"
"2024-03-01","26.6"
"2024-04-01","40.56"
"2024-05-01","29.54"
"2024-06-01","35.04"
"2024-07-01","44.82"
"2024-08-01","41.04"
"2024-09-01","47.3"
"2024-10-01","33.12"
"2024-11-01","46.98"
"2024-12-01","41.38"
"2025-01-01","45.07"
"2025-02-01","52.85"
"2025-03-01","39.39"
"2025-04-01","41.8"
"2025-05-01","33.04"
"2025-06-01","54.64"
"2025-07-01","54.79"
"2025-08-01","53.52"
"2025-09-01","42.68"
"2025-10-01","44.49"
"2025-11-01","44.11"
"2025-12-01","47.01"
"2026-01-01","45.95"
"2026-02-01","55.89"
"2026-03-01","30.41"
"2026-04-01","42.84"
