"Date","Daily Rate"
"2023-05-01","235"
"2023-06-01","240"
"2023-07-01","231"
"2023-08-01","262"
"2023-09-01","237"
"2023-10-01","236"
"2023-11-01","228"
"2023-12-01","280"
"2024-01-01","283"
"2024-02-01","392"
"2024-03-01","299"
"2024-04-01","313"
"2024-05-01","246"
"2024-06-01","262"
"2024-07-01","260"
"2024-08-01","249"
"2024-09-01","349"
"2024-10-01","249"
"2024-11-01","276"
"2024-12-01","317"
"2025-01-01","315"
"2025-02-01","345"
"2025-03-01","355"
"2025-04-01","329"
"2025-05-01","269"
"2025-06-01","282"
"2025-07-01","255"
"2025-08-01","241"
"2025-09-01","250"
"2025-10-01","259"
"2025-11-01","293"
"2025-12-01","304"
"2026-01-01","324"
"2026-02-01","395"
"2026-03-01","309"
"2026-04-01","297"
