"Date","Revenue"
"2023-05-01","2520.49"
"2023-06-01","2389.72"
"2023-07-01","3147.54"
"2023-08-01","3231.45"
"2023-09-01","2989.66"
"2023-10-01","2802.16"
"2023-11-01","4611.98"
"2023-12-01","4544.87"
"2024-01-01","2403.53"
"2024-02-01","2738.51"
"2024-03-01","3390.79"
"2024-04-01","2620.75"
"2024-05-01","2373.27"
"2024-06-01","1990.07"
"2024-07-01","2701.99"
"2024-08-01","2905.68"
"2024-09-01","2367.66"
"2024-10-01","2644.27"
"2024-11-01","1858.45"
"2024-12-01","2253.61"
"2025-01-01","2080.35"
"2025-02-01","1677.85"
"2025-03-01","2177.99"
"2025-04-01","1881.53"
"2025-05-01","1443.74"
"2025-06-01","1509"
"2025-07-01","1975.27"
"2025-08-01","1866.15"
"2025-09-01","2391.52"
"2025-10-01","2788.51"
"2025-11-01","2503.2"
"2025-12-01","1896.76"
"2026-01-01","2457.84"
"2026-02-01","2739.1"
"2026-03-01","1964.01"
"2026-04-01","2186.96"
