"Date","RevPAR"
"2024-04-01","68.6"
"2024-04-02","90.94"
"2024-04-03","80"
"2024-04-04","94.82"
"2024-04-05","95.56"
"2024-04-06","88.52"
"2024-04-07","92.22"
"2024-04-08","79.63"
"2024-04-09","70.37"
"2024-04-10","69.26"
"2024-04-11","75.19"
"2024-04-12","87.78"
"2024-04-13","95.33"
"2024-04-14","99.32"
"2024-04-15","82.49"
"2024-04-16","86.59"
"2024-04-17","72.59"
"2024-04-18","75.78"
"2024-04-19","117.27"
"2024-04-20","110.48"
"2024-04-21","120.12"
"2024-04-22","104.14"
"2024-04-23","109.32"
"2024-04-24","101.85"
"2024-04-25","94.82"
"2024-04-26","112.59"
"2024-04-27","91.48"
"2024-04-28","98.52"
"2024-04-29","98.52"
"2024-04-30","98.89"
"2024-05-01","92.07"
"2024-05-02","99.62"
"2024-05-03","147.55"
"2024-05-04","154.69"
"2024-05-05","128.68"
"2024-05-06","100.59"
"2024-05-07","84.28"
"2024-05-08","80.35"
"2024-05-09","77.99"
"2024-05-10","91.79"
"2024-05-11","132.14"
"2024-05-12","90.04"
"2024-05-13","73.6"
"2024-05-14","72.92"
"2024-05-15","65.73"
"2024-05-16","83.87"
"2024-05-17","79.96"
"2024-05-18","90.96"
"2024-05-19","106"
"2024-05-20","83.53"
"2024-05-21","82.85"
"2024-05-22","73.26"
"2024-05-23","73.95"
"2024-05-24","91.4"
"2024-05-25","78.4"
"2024-05-26","97.57"
"2024-05-27","72.92"
"2024-05-28","67.1"
"2024-05-29","70.18"
"2024-05-30","76.29"
"2024-05-31","84.09"
"2024-06-01","120"
"2024-06-02","63.06"
"2024-06-03","67.91"
"2024-06-04","100.84"
"2024-06-05","91.72"
"2024-06-06","87.14"
"2024-06-07","72.61"
"2024-06-08","93.02"
"2024-06-09","73.67"
"2024-06-10","55.56"
"2024-06-11","58.41"
"2024-06-12","59.75"
"2024-06-13","83.38"
"2024-06-14","115.04"
"2024-06-15","118.95"
"2024-06-16","76.14"
"2024-06-17","82.04"
"2024-06-18","107.01"
"2024-06-19","65.44"
"2024-06-20","81.4"
"2024-06-21","81.4"
"2024-06-22","80.93"
"2024-06-23","81.93"
"2024-06-24","70.63"
"2024-06-25","86.61"
"2024-06-26","70.56"
"2024-06-27","75.98"
"2024-06-28","83.6"
"2024-06-29","88.1"
"2024-06-30","63.49"
"2024-07-01","61.29"
"2024-07-02","66.34"
"2024-07-03","69.87"
"2024-07-04","85.47"
"2024-07-05","66.02"
"2024-07-06","75.31"
"2024-07-07","84.93"
"2024-07-08","79.68"
"2024-07-09","83.01"
"2024-07-10","82.69"
"2024-07-11","85.25"
"2024-07-12","96.03"
"2024-07-13","104.2"
"2024-07-14","101.7"
"2024-07-15","92.98"
"2024-07-16","88.26"
"2024-07-17","82.75"
"2024-07-18","81.72"
"2024-07-19","105.22"
"2024-07-20","111.35"
"2024-07-21","94.66"
"2024-07-22","73.01"
"2024-07-23","68.78"
"2024-07-24","77.98"
"2024-07-25","86.49"
"2024-07-26","73.21"
"2024-07-27","74.23"
"2024-07-28","76.64"
"2024-07-29","64.65"
"2024-07-30","63.93"
"2024-07-31","82.5"
"2024-08-01","104.24"
"2024-08-02","87.78"
"2024-08-03","93.69"
"2024-08-04","96.8"
"2024-08-05","86.21"
"2024-08-06","77.23"
"2024-08-07","73.28"
"2024-08-08","104.63"
"2024-08-09","103.85"
"2024-08-10","100.71"
"2024-08-11","78.38"
"2024-08-12","70.93"
"2024-08-13","82.3"
"2024-08-14","96.93"
"2024-08-15","95.23"
"2024-08-16","100.02"
"2024-08-17","102.55"
"2024-08-18","128.47"
"2024-08-19","79.76"
"2024-08-20","78.5"
"2024-08-21","66.26"
"2024-08-22","88.2"
"2024-08-23","110.15"
"2024-08-24","119.86"
"2024-08-25","88.2"
"2024-08-26","84.83"
"2024-08-27","90.31"
"2024-08-28","101.29"
"2024-08-29","84.83"
"2024-08-30","87.36"
"2024-08-31","91.58"
"2024-09-01","107.06"
"2024-09-02","98.14"
"2024-09-03","85.55"
"2024-09-04","61.55"
"2024-09-05","71.95"
"2024-09-06","60.25"
"2024-09-07","75.13"
"2024-09-08","87.09"
"2024-09-09","66.59"
"2024-09-10","64.33"
"2024-09-11","78.89"
"2024-09-12","128.61"
"2024-09-13","245.27"
"2024-09-14","261.88"
"2024-09-15","186.52"
"2024-09-16","180.32"
"2024-09-17","103.54"
"2024-09-18","115.02"
"2024-09-19","131.92"
"2024-09-20","162.82"
