"Date","Daily Rate"
"2023-05-01","118"
"2023-06-01","134"
"2023-07-01","138"
"2023-08-01","148"
"2023-09-01","145"
"2023-10-01","138"
"2023-11-01","220"
"2023-12-01","245"
"2024-01-01","172"
"2024-02-01","212"
"2024-03-01","220"
"2024-04-01","144"
"2024-05-01","141"
"2024-06-01","140"
"2024-07-01","128"
"2024-08-01","144"
"2024-09-01","164"
"2024-10-01","184"
"2024-11-01","126"
"2024-12-01","144"
"2025-01-01","135"
"2025-02-01","143"
"2025-03-01","152"
"2025-04-01","133"
"2025-05-01","139"
"2025-06-01","106"
"2025-07-01","104"
"2025-08-01","101"
"2025-09-01","131"
"2025-10-01","146"
"2025-11-01","153"
"2025-12-01","164"
"2026-01-01","154"
"2026-02-01","209"
"2026-03-01","129"
"2026-04-01","131"
