"Date","Listing Days Booked","Booked Listings"
"2023-05-01","417","37"
"2023-06-01","463","43"
"2023-07-01","519","40"
"2023-08-01","375","30"
"2023-09-01","492","41"
"2023-10-01","406","40"
"2023-11-01","726","68"
"2023-12-01","1140","104"
"2024-01-01","1006","92"
"2024-02-01","1296","125"
"2024-03-01","769","51"
"2024-04-01","565","42"
"2024-05-01","570","43"
"2024-06-01","552","47"
"2024-07-01","688","40"
"2024-08-01","614","45"
"2024-09-01","869","82"
"2024-10-01","569","43"
"2024-11-01","839","74"
"2024-12-01","1126","128"
"2025-01-01","1293","134"
"2025-02-01","1368","152"
"2025-03-01","1832","155"
"2025-04-01","1217","85"
"2025-05-01","801","75"
"2025-06-01","681","58"
"2025-07-01","575","44"
"2025-08-01","589","54"
"2025-09-01","612","49"
"2025-10-01","646","51"
"2025-11-01","812","65"
"2025-12-01","1076","115"
"2026-01-01","1277","116"
"2026-02-01","1906","165"
"2026-03-01","1330","87"
"2026-04-01","890","79"
