"Date","RevPAR"
"2024-04-01","777.3"
"2024-04-02","665.55"
"2024-04-03","672.12"
"2024-04-04","702.12"
"2024-04-05","570.96"
"2024-04-06","587.5"
"2024-04-07","535.88"
"2024-04-08","502.96"
"2024-04-09","642.02"
"2024-04-10","686.45"
"2024-04-11","742.61"
"2024-04-12","783.2"
"2024-04-13","852.4"
"2024-04-14","714.01"
"2024-04-15","585.14"
"2024-04-16","537.14"
"2024-04-17","556"
"2024-04-18","563"
"2024-04-19","697.24"
"2024-04-20","695.52"
"2024-04-21","560"
"2024-04-22","678.69"
"2024-04-23","687.44"
"2024-04-24","691.94"
"2024-04-25","696.23"
"2024-04-26","886.44"
"2024-04-27","948.01"
"2024-04-28","1011.37"
"2024-04-29","876.43"
"2024-04-30","883.13"
"2024-05-01","633"
"2024-05-02","682.75"
"2024-05-03","787.09"
"2024-05-04","835.93"
"2024-05-05","713.23"
"2024-05-06","546.63"
"2024-05-07","473.16"
"2024-05-08","462.79"
"2024-05-09","448.25"
"2024-05-10","429.42"
"2024-05-11","506.44"
"2024-05-12","447.65"
"2024-05-13","501.53"
"2024-05-14","533.93"
"2024-05-15","152.71"
"2024-05-16","222.84"
"2024-05-17","334.62"
"2024-05-18","313.58"
"2024-05-19","306.71"
"2024-05-20","222"
"2024-05-21","147.25"
"2024-05-22","148.8"
"2024-05-23","185.91"
"2024-05-24","253.29"
"2024-05-25","331.33"
"2024-05-26","282.05"
"2024-05-27","229.45"
"2024-05-28","217.99"
"2024-05-29","261.48"
"2024-05-30","517.89"
"2024-05-31","499"
"2024-06-01","555.29"
"2024-06-02","256.67"
"2024-06-03","288.45"
"2024-06-04","212.24"
"2024-06-05","222.61"
"2024-06-06","246.45"
"2024-06-07","309.86"
"2024-06-08","398.97"
"2024-06-09","370.59"
"2024-06-10","209.54"
"2024-06-11","219.52"
"2024-06-12","211.88"
"2024-06-13","255.72"
"2024-06-14","218.48"
"2024-06-15","271.69"
"2024-06-16","195.8"
"2024-06-17","214.63"
"2024-06-18","211"
"2024-06-19","229"
"2024-06-20","224.72"
"2024-06-21","256.41"
"2024-06-22","240.77"
"2024-06-23","259.37"
"2024-06-24","234.22"
"2024-06-25","148.48"
"2024-06-26","241.34"
"2024-06-27","256.69"
"2024-06-28","379.62"
"2024-06-29","364.37"
"2024-06-30","339.96"
"2024-07-01","245.83"
"2024-07-02","204.54"
"2024-07-03","252.98"
"2024-07-04","288.91"
"2024-07-05","356.5"
"2024-07-06","388.39"
"2024-07-07","373.37"
"2024-07-08","438.82"
"2024-07-09","268.06"
"2024-07-10","280.11"
"2024-07-11","861.57"
"2024-07-12","941.38"
"2024-07-13","979.22"
"2024-07-14","857.3"
"2024-07-15","769.54"
"2024-07-16","739.39"
"2024-07-17","757.77"
"2024-07-18","431.71"
"2024-07-19","436.84"
"2024-07-20","451.65"
"2024-07-21","390.13"
"2024-07-22","321.45"
"2024-07-23","277.13"
"2024-07-24","307.46"
"2024-07-25","919.19"
"2024-07-26","940.03"
"2024-07-27","935.2"
"2024-07-28","1598.69"
"2024-07-29","1481.18"
"2024-07-30","1379.98"
"2024-07-31","1392.04"
"2024-08-01","1417.94"
"2024-08-02","1425.62"
"2024-08-03","1453.61"
"2024-08-04","833.93"
"2024-08-05","656.86"
"2024-08-06","759.8"
"2024-08-07","772.65"
"2024-08-08","836.26"
"2024-08-09","836.74"
"2024-08-10","1035.86"
"2024-08-11","843.21"
"2024-08-12","812.77"
"2024-08-13","809.44"
"2024-08-14","753.28"
"2024-08-15","1141.67"
"2024-08-16","1171.35"
"2024-08-17","1247.74"
"2024-08-18","1026.34"
"2024-08-19","773.33"
"2024-08-20","561.02"
"2024-08-21","583.8"
"2024-08-22","764.96"
"2024-08-23","769.37"
"2024-08-24","1481.8"
"2024-08-25","1167.56"
"2024-08-26","1203.53"
"2024-08-27","1124.04"
"2024-08-28","1161.96"
"2024-08-29","1225.92"
"2024-08-30","1296.09"
"2024-08-31","1550.99"
"2024-09-01","893.23"
"2024-09-02","972.2"
"2024-09-03","918.85"
"2024-09-04","798.34"
"2024-09-05","374.16"
"2024-09-06","397.6"
"2024-09-07","805.33"
"2024-09-08","485.67"
"2024-09-09","385.37"
"2024-09-10","415.77"
"2024-09-11","571.19"
"2024-09-12","976.25"
"2024-09-13","1199.1"
"2024-09-14","1141.57"
"2024-09-15","782.83"
"2024-09-16","626.67"
"2024-09-17","558.45"
"2024-09-18","529.68"
"2024-09-19","658.71"
"2024-09-20","774.88"
"2024-09-21","794.74"
"2024-09-22","670.13"
"2024-09-23","270.76"
"2024-09-24","163.05"
"2024-09-25","111.2"
"2024-09-26","134.31"
"2024-09-27","203.35"
"2024-09-28","225.62"
"2024-09-29","168.1"
"2024-09-30","137.29"
"2024-10-01","156.99"
"2024-10-02","136.27"
"2024-10-03","152.72"
"2024-10-04","217.99"
"2024-10-05","208.73"
"2024-10-06","114.1"
"2024-10-07","99.61"
"2024-10-08","99.56"
"2024-10-09","197.8"
"2024-10-10","228.25"
"2024-10-11","248.08"
"2024-10-12","248.44"
"2024-10-13","251.7"
"2024-10-14","122.24"
"2024-10-15","133.68"
"2024-10-16","102.51"
"2024-10-17","107.42"
"2024-10-18","323.56"
"2024-10-19","356.8"
"2024-10-20","469.49"
"2024-10-21","226.53"
"2024-10-22","231.26"
"2024-10-23","185.89"
"2024-10-24","163.14"
"2024-10-25","197.06"
"2024-10-26","259.07"
"2024-10-27","222.18"
"2024-10-28","138.89"
"2024-10-29","140.12"
"2024-10-30","134.64"
"2024-10-31","141.05"
"2024-11-01","305.21"
"2024-11-02","364.19"
"2024-11-03","381.26"
"2024-11-04","283.75"
"2024-11-05","258.74"
"2024-11-06","382.19"
"2024-11-07","457.17"
"2024-11-08","774.47"
"2024-11-09","794.05"
"2024-11-10","449.2"
"2024-11-11","237.67"
"2024-11-12","209.72"
"2024-11-13","369.52"
"2024-11-14","487.54"
"2024-11-15","1047.67"
"2024-11-16","1084.44"
"2024-11-17","819.01"
"2024-11-18","737.53"
"2024-11-19","624.97"
"2024-11-20","625.87"
"2024-11-21","223.13"
"2024-11-22","241.91"
"2024-11-23","520.76"
"2024-11-24","487.03"
"2024-11-25","364.03"
"2024-11-26","347.82"
"2024-11-27","488.93"
"2024-11-28","683.51"
"2024-11-29","945.53"
"2024-11-30","814.71"
"2024-12-01","587.25"
"2024-12-02","405.37"
"2024-12-03","210.4"
"2024-12-04","390.43"
"2024-12-05","883.38"
"2024-12-06","904.35"
"2024-12-07","972.66"
"2024-12-08","720.45"
"2024-12-09","398.02"
"2024-12-10","413.65"
"2024-12-11","359.26"
"2024-12-12","422.97"
"2024-12-13","552.46"
"2024-12-14","569.6"
"2024-12-15","503.86"
"2024-12-16","413.17"
"2024-12-17","517.69"
"2024-12-18","235.46"
"2024-12-19","258.24"
"2024-12-20","276.78"
"2024-12-21","380.05"
"2024-12-22","346.16"
"2024-12-23","369.27"
"2024-12-24","396.67"
"2024-12-25","726.12"
"2024-12-26","704.73"
"2024-12-27","712.02"
"2024-12-28","1090.58"
"2024-12-29","929.51"
"2024-12-30","885.13"
"2024-12-31","912.81"
"2025-01-01","1300.93"
"2025-01-02","1182.36"
"2025-01-03","824.07"
"2025-01-04","417.44"
"2025-01-05","275.1"
"2025-01-06","185.31"
"2025-01-07","180.41"
"2025-01-08","198.02"
"2025-01-09","292.18"
"2025-01-10","370.24"
"2025-01-11","636.79"
"2025-01-12","538.01"
"2025-01-13","376.22"
"2025-01-14","393.3"
"2025-01-15","466.04"
"2025-01-16","679.36"
"2025-01-17","712.4"
"2025-01-18","766.07"
"2025-01-19","786.82"
"2025-01-20","859.96"
"2025-01-21","687.76"
"2025-01-22","546.28"
"2025-01-23","544.02"
"2025-01-24","652.13"
"2025-01-25","662.77"
"2025-01-26","616.29"
"2025-01-27","666.81"
"2025-01-28","606.64"
"2025-01-29","516.77"
"2025-01-30","597.21"
"2025-01-31","1005.45"
"2025-02-01","1043.5"
"2025-02-02","1084.15"
"2025-02-03","805.13"
"2025-02-04","831.18"
"2025-02-05","714.47"
"2025-02-06","1068.4"
"2025-02-07","1307.57"
"2025-02-08","1314.55"
"2025-02-09","1191.25"
"2025-02-10","1129.62"
"2025-02-11","1278.48"
"2025-02-12","1019.65"
"2025-02-13","1202.84"
"2025-02-14","1844.55"
"2025-02-15","1642.8"
"2025-02-16","1340.91"
"2025-02-17","1035.59"
"2025-02-18","1331.21"
"2025-02-19","1356.14"
"2025-02-20","1397.25"
"2025-02-21","1396.76"
"2025-02-22","1305.19"
"2025-02-23","1224.95"
"2025-02-24","831.19"
"2025-02-25","661.69"
