"Date","Occupancy"
"2023-05-01","22.87"
"2023-06-01","41"
"2023-07-01","47.22"
"2023-08-01","49.65"
"2023-09-01","48.63"
"2023-10-01","50.67"
"2023-11-01","53.59"
"2023-12-01","40"
"2024-01-01","19.76"
"2024-02-01","45"
"2024-03-01","41.58"
"2024-04-01","40.03"
"2024-05-01","36.19"
"2024-06-01","37.17"
"2024-07-01","61.12"
"2024-08-01","58.14"
"2024-09-01","62.42"
"2024-10-01","46.61"
"2024-11-01","55.28"
"2024-12-01","39.68"
"2025-01-01","42.42"
"2025-02-01","54.91"
"2025-03-01","37.63"
"2025-04-01","48.21"
"2025-05-01","37.23"
"2025-06-01","47.3"
"2025-07-01","49.17"
"2025-08-01","51.25"
"2025-09-01","52.92"
"2025-10-01","53.34"
"2025-11-01","58.04"
"2025-12-01","52.17"
"2026-01-01","61.34"
"2026-02-01","60.79"
"2026-03-01","46.68"
"2026-04-01","52.99"
